round,client_id,dataset,task_type,accuracy,precision,recall,f1_score,loss,kd_loss,task_loss,training_time,memory_usage_mb,transfer_efficiency,knowledge_retention
1,client_stsb,stsb,regression,-9.456269688998477,0.0,0.0,0.0,0.6206960649717421,0.17919856593722389,1.062193561167944,0.43227148056030273,1608.30078125,0.0,0.0
1,client_sst2,sst2,binary_classification,0.43,0.19744897959183672,0.43,0.27062937062937065,0.39464984905152095,0.06637692832875819,0.7229227735882714,0.4430403709411621,1654.1953125,0.0,0.0
1,client_qqp,qqp,binary_classification,0.5433333333333333,0.5046185382102363,0.5433333333333333,0.5079203946601754,0.36820192138353985,0.0521648625532786,0.6842389816329593,0.4695892333984375,1654.3203125,0.0,0.0
2,client_stsb,stsb,regression,-8.705586268183835,0.0,0.0,0.0,0.5724466911384037,0.17476741605926127,0.9701259789012727,0.15626788139343262,1608.30078125,0.0,0.0
2,client_sst2,sst2,binary_classification,0.43,0.19744897959183672,0.43,0.27062937062937065,0.3824176916054317,0.047077617031477746,0.7177577671550569,0.16047120094299316,1654.1953125,0.0,0.0
2,client_qqp,qqp,binary_classification,0.5466666666666666,0.41449275362318844,0.5466666666666666,0.4432748538011696,0.37213376732099623,0.05904343041280905,0.6852241044952756,0.17448806762695312,1654.3203125,0.0,0.0
3,client_sst2,sst2,binary_classification,0.4266666666666667,0.25750286368843067,0.4266666666666667,0.27463169823538935,0.37930685423669364,0.04616904604647841,0.7124446545328412,0.1617727279663086,1654.1953125,0.0,0.0
3,client_stsb,stsb,regression,-7.982509620030498,0.0,0.0,0.0,0.5434336577142987,0.1805126971254746,0.9063546288581121,0.16230511665344238,1608.30078125,0.0,0.0
3,client_qqp,qqp,binary_classification,0.5866666666666667,0.4238095238095238,0.5866666666666667,0.4493871810327506,0.3698290160724095,0.05820687199454932,0.6814511588641575,0.17603635787963867,1654.4453125,0.0,0.0
4,client_stsb,stsb,regression,-7.27867669840094,0.0,0.0,0.0,0.4976285837945484,0.15346523746848106,0.8417919306528001,0.17226552963256836,1608.30078125,0.0,0.0
4,client_sst2,sst2,binary_classification,0.42333333333333334,0.3899947478991597,0.42333333333333334,0.3157171773752085,0.3857672143550146,0.05908811660039993,0.7124463064329964,0.17267775535583496,1654.1953125,0.0,0.0
4,client_qqp,qqp,binary_classification,0.5933333333333334,0.35838926174496644,0.5933333333333334,0.44686192468619246,0.3597193175838107,0.04556252443719478,0.6738761067390442,0.17269301414489746,1654.4453125,0.0,0.0
5,client_stsb,stsb,regression,-6.597681025603115,0.0,0.0,0.0,0.4454054208028884,0.11763558208795508,0.7731752622695196,0.1818392276763916,1608.30078125,0.0,0.0
5,client_sst2,sst2,binary_classification,0.3933333333333333,0.36586345381526103,0.3933333333333333,0.3232928240740741,0.38095820801598684,0.05230195119622208,0.7096144670531863,0.1829845905303955,1654.1953125,0.0,0.0
5,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.35882516985847834,0.048278224565798326,0.6693721129780724,0.19539737701416016,1654.4453125,0.0,0.0
6,client_stsb,stsb,regression,-5.950281902215792,0.0,0.0,0.0,0.42577759070055826,0.14423700067259015,0.7073181810833159,0.17290568351745605,1608.30078125,0.0,0.0
6,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.36231878257933114,0.04842770006507635,0.6762098670005798,0.17582440376281738,1654.4453125,0.0,0.0
6,client_sst2,sst2,binary_classification,0.36666666666666664,0.36629266012155215,0.36666666666666664,0.3449612403100775,0.3855062098730178,0.06820250936739501,0.7028099099795023,0.17598867416381836,1654.1953125,0.0,0.0
7,client_stsb,stsb,regression,-5.334432342733952,0.0,0.0,0.0,0.35559124038332984,0.08691225702031738,0.6242702177592686,0.17969226837158203,1608.30078125,0.0,0.0
7,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.35742097525369554,0.03997548447833175,0.6748664719717843,0.1842975616455078,1654.4453125,0.0,0.0
7,client_sst2,sst2,binary_classification,0.4166666666666667,0.42645046524356867,0.4166666666666667,0.4143896173222567,0.37442724335761296,0.04678543692543393,0.702069049789792,0.19638943672180176,1654.1953125,0.0,0.0
8,client_stsb,stsb,regression,-4.761053508741252,0.0,0.0,0.0,0.33781349871839794,0.09948698559713064,0.5761400177365258,0.16555094718933105,1608.30078125,0.0,0.0
8,client_sst2,sst2,binary_classification,0.41333333333333333,0.41168074438773206,0.41333333333333333,0.41243527981630723,0.3742645240965344,0.046830237931793646,0.7016988112812951,0.17166972160339355,1654.1953125,0.0,0.0
8,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3592023182482946,0.05203899705693835,0.6663656348273868,0.1834712028503418,1654.4453125,0.0,0.0
9,client_stsb,stsb,regression,-4.215168297541093,0.0,0.0,0.0,0.31367385600294384,0.09837690491362341,0.528970806371598,0.1487901210784912,1608.30078125,0.0,0.0
9,client_sst2,sst2,binary_classification,0.43333333333333335,0.41361374943464496,0.43333333333333335,0.4176124422026062,0.37677021395592464,0.052869660779833794,0.7006707673981076,0.16925883293151855,1654.1953125,0.0,0.0
9,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3634722317968096,0.05764635359602315,0.6692981038774762,0.17826080322265625,1654.4453125,0.0,0.0
10,client_stsb,stsb,regression,-3.696521575104244,0.0,0.0,0.0,0.2695867908852441,0.065036346404148,0.4741372359650476,0.1846790313720703,1608.30078125,0.0,0.0
10,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3621909802868253,0.057003590500070936,0.6673783659934998,0.1857297420501709,1654.4453125,0.0,0.0
10,client_sst2,sst2,binary_classification,0.44333333333333336,0.3975877192982456,0.44333333333333336,0.40324150901648415,0.37617012716474985,0.051705337883461086,0.7006349166234335,0.19265246391296387,1654.1953125,0.0,0.0
11,client_stsb,stsb,regression,-3.2240070296711663,0.0,0.0,0.0,0.26478838991551173,0.10648304033314898,0.42309374184835524,0.163468599319458,1608.30078125,0.0,0.0
11,client_sst2,sst2,binary_classification,0.4633333333333333,0.40004391100702574,0.4633333333333333,0.40417696079058874,0.37477036601021174,0.05105489350500561,0.6984858370962597,0.17995357513427734,1654.1953125,0.0,0.0
11,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3582294214339483,0.04940612277104741,0.6670527145976112,0.18600726127624512,1654.4453125,0.0,0.0
12,client_sst2,sst2,binary_classification,0.48,0.4047058823529412,0.48,0.4057142857142857,0.3830783381348565,0.0696660021231288,0.6964906737917945,0.1662137508392334,1654.1953125,0.0,0.0
12,client_stsb,stsb,regression,-2.7796390769213595,0.0,0.0,0.0,0.23952089037214006,0.09329048725998118,0.38575129423822674,0.1683342456817627,1608.30078125,0.0,0.0
12,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3601832389831543,0.05410635200816961,0.666260131767818,0.18188118934631348,1654.4453125,0.0,0.0
13,client_sst2,sst2,binary_classification,0.5266666666666666,0.46,0.5266666666666666,0.423125,0.3703975138210115,0.0462864131356279,0.6945086149942308,0.16547799110412598,1654.1953125,0.0,0.0
13,client_stsb,stsb,regression,-2.37450247327478,0.0,0.0,0.0,0.2022703935702642,0.05005229282237235,0.35448849768865676,0.16860699653625488,1608.30078125,0.0,0.0
13,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3546821858201708,0.045564166225847746,0.6638002055031913,0.17555856704711914,1654.4453125,0.0,0.0
14,client_stsb,stsb,regression,-2.0285232495706627,0.0,0.0,0.0,0.18046677041621434,0.05084152803534553,0.31009201066834585,0.18282294273376465,1608.30078125,0.0,0.0
14,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.34211280658131554,0.03530051594688779,0.6489250972157433,0.1892228126525879,1654.4453125,0.0,0.0
14,client_sst2,sst2,binary_classification,0.5533333333333333,0.5738983050847457,0.5533333333333333,0.4090683229813665,0.3796685565085638,0.06413144228004274,0.6952056657700312,0.19553041458129883,1654.1953125,0.0,0.0
15,client_stsb,stsb,regression,-1.7215683592872866,0.0,0.0,0.0,0.16476286273627055,0.05366428591133583,0.27586143783160616,0.1617586612701416,1608.30078125,0.0,0.0
15,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.35805679361025494,0.05712294423331817,0.658990638596671,0.1715700626373291,1654.4453125,0.0,0.0
15,client_sst2,sst2,binary_classification,0.56,0.7555555555555556,0.56,0.4124223602484472,0.3785753945509593,0.06421812880961668,0.6929326625097365,0.17692327499389648,1654.1953125,0.0,0.0
16,client_stsb,stsb,regression,-1.4559412105559368,0.0,0.0,0.0,0.15421228075311297,0.05426234827332553,0.25416221221288043,0.16555428504943848,1608.30078125,0.0,0.0
16,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.36280249272074017,0.06013751832679624,0.665467463788532,0.16949820518493652,1654.4453125,0.0,0.0
16,client_sst2,sst2,binary_classification,0.56,0.7555555555555556,0.56,0.4124223602484472,0.37410628227960496,0.05485215024756534,0.6933604166621253,0.19778943061828613,1654.1953125,0.0,0.0
17,client_stsb,stsb,regression,-1.2203082115141006,0.0,0.0,0.0,0.12741520220325106,0.031105299496890178,0.22372510532538095,0.16801142692565918,1608.30078125,0.0,0.0
17,client_sst2,sst2,binary_classification,0.55,0.30250000000000005,0.55,0.39032258064516134,0.37503294291950406,0.05312533783061164,0.6969405497823443,0.17743396759033203,1654.1953125,0.0,0.0
17,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3505523006121318,0.04263704970833801,0.6584675482341221,0.1972360610961914,1654.4453125,0.0,0.0
18,client_stsb,stsb,regression,-1.0202046717511744,0.0,0.0,0.0,0.12647644714230583,0.04078317656447845,0.212169719239076,0.16254115104675293,1608.30078125,0.0,0.0
18,client_sst2,sst2,binary_classification,0.55,0.30250000000000005,0.55,0.39032258064516134,0.3717454416411264,0.05121744752285026,0.6922734323002043,0.18171024322509766,1654.1953125,0.0,0.0
18,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3527846478280567,0.051668236386917886,0.653901063260578,0.19754648208618164,1654.4453125,0.0,0.0
19,client_stsb,stsb,regression,-0.8530314431828241,0.0,0.0,0.0,0.10859810312589009,0.025277950295795954,0.1919182553177788,0.15453433990478516,1608.30078125,0.0,0.0
19,client_sst2,sst2,binary_classification,0.55,0.30250000000000005,0.55,0.39032258064516134,0.36712443119003657,0.046373135232854454,0.6878757278124491,0.16678524017333984,1654.1953125,0.0,0.0
19,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.3473349412282308,0.04749718348362616,0.6471727007911319,0.18080735206604004,1654.4453125,0.0,0.0
20,client_stsb,stsb,regression,-0.7105252782202067,0.0,0.0,0.0,0.10074613633609954,0.028719741172002006,0.17277252957934425,0.18282866477966309,1608.30078125,0.0,0.0
20,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.34266639465377446,0.037752050595978894,0.6475807343210492,0.18834209442138672,1654.4453125,0.0,0.0
20,client_sst2,sst2,binary_classification,0.55,0.30250000000000005,0.55,0.39032258064516134,0.3800011291390374,0.06797016642632939,0.6920320902551923,0.19507932662963867,1654.1953125,0.0,0.0
21,client_sst2,sst2,binary_classification,0.55,0.30250000000000005,0.55,0.39032258064516134,0.3717773414793469,0.04916726638163839,0.6943874103682381,0.1664431095123291,1654.1953125,0.0,0.0
21,client_stsb,stsb,regression,-0.5945442677006569,0.0,0.0,0.0,0.0913868567773274,0.021639555315708832,0.16113415644282386,0.16682791709899902,1608.30078125,0.0,0.0
21,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.34900608516874765,0.046701677720106784,0.6513104892912365,0.17213892936706543,1654.4453125,0.0,0.0
22,client_stsb,stsb,regression,-0.49744081500759263,0.0,0.0,0.0,0.08936734373370807,0.031281261638339074,0.14745342554081053,0.16423606872558594,1608.30078125,0.0,0.0
22,client_sst2,sst2,binary_classification,0.55,0.30250000000000005,0.55,0.39032258064516134,0.37253117135592867,0.05406217002088115,0.6910001749084109,0.16788101196289062,1654.1953125,0.0,0.0
22,client_qqp,qqp,binary_classification,0.6,0.36,0.6,0.45,0.35233603772662936,0.05349699350162631,0.6511750788915724,0.17709970474243164,1654.4453125,0.0,0.0
