round,client_id,task,accuracy,loss,samples_processed,correct_predictions,val_accuracy,val_loss,val_samples,val_correct_predictions,timestamp
1,stsb_client,stsb,0.1561041428040037,0.08157113407339368,500,102,0.20585572621352274,0.07469629295743428,100,27,2025-10-20 22:19:06
1,sst2_client,sst2,0.532,0.6904105052115426,500,266,0.64,0.666710262115185,100,64,2025-10-20 22:19:09
1,qqp_client,qqp,0.6233333333333333,0.6588818807350961,300,187,0.7,0.6103184148669243,60,42,2025-10-20 22:19:26
2,stsb_client,stsb,0.2315437942463151,0.08165877067025691,500,105,0.2048639706013803,0.07760341608753571,100,23,2025-10-20 22:19:54
2,sst2_client,sst2,0.638,0.6827086645459371,500,319,0.62,0.6681117002780621,100,62,2025-10-20 22:19:55
2,qqp_client,qqp,0.6433333333333333,0.6696490865004691,300,193,0.7,0.6378979384899139,60,42,2025-10-20 22:20:02
3,stsb_client,stsb,0.33126345220073433,0.0810823520379407,500,106,0.267194972849014,0.07513415326292698,100,24,2025-10-20 22:20:27
3,sst2_client,sst2,0.674,0.6625242034594218,500,337,0.68,0.6288274251497709,100,68,2025-10-20 22:20:31
3,qqp_client,qqp,0.6433333333333333,0.6753347233722085,300,193,0.7,0.645146407186985,60,42,2025-10-20 22:20:57
4,stsb_client,stsb,0.41176921252664694,0.07546401387524038,500,116,0.4711138010586529,0.07310708669515756,100,24,2025-10-20 22:21:13
4,qqp_client,qqp,0.6433333333333333,0.6753344645625666,300,193,0.7,0.6512903943657875,60,42,2025-10-20 22:21:43
4,sst2_client,sst2,0.728,0.6221081127250006,500,364,0.61,0.6493575274944305,100,61,2025-10-20 22:21:46
5,stsb_client,stsb,0.3921826607453296,0.07437873773631595,500,103,0.48070790307297895,0.06467754737688945,100,32,2025-10-20 22:22:01
5,sst2_client,sst2,0.766,0.593610675088943,500,383,0.65,0.6046790434763982,100,65,2025-10-20 22:22:14
5,qqp_client,qqp,0.6433333333333333,0.6790633280026285,300,193,0.7,0.6471588686108589,60,42,2025-10-20 22:22:32
6,stsb_client,stsb,0.42836521616941187,0.07678110341704081,500,107,0.48239138877706,0.06260282059128468,100,30,2025-10-20 22:22:48
6,sst2_client,sst2,0.814,0.5748083014336843,500,407,0.65,0.6043590238461127,100,65,2025-10-20 22:23:01
6,qqp_client,qqp,0.6466666666666666,0.6788276496686434,300,194,0.7,0.6566627472639084,60,42,2025-10-20 22:23:40
7,stsb_client,stsb,0.4799662266930319,0.0723560071949448,500,110,0.5416437803707749,0.05929483767025746,100,33,2025-10-20 22:24:07
7,sst2_client,sst2,0.858,0.5601907235289377,500,429,0.69,0.5886180309148935,100,69,2025-10-20 22:24:30
7,qqp_client,qqp,0.6733333333333333,0.6765716452347604,300,202,0.7,0.6562455743551254,60,42,2025-10-20 22:24:35
8,sst2_client,sst2,0.86,0.5629029207759433,500,430,0.66,0.6309448365981762,100,66,2025-10-20 22:25:05
8,qqp_client,qqp,0.69,0.6766776379786039,300,207,0.7,0.6575239449739456,60,42,2025-10-20 22:25:10
8,stsb_client,stsb,0.5286603010854034,0.0713812652384005,500,119,0.5342494547986836,0.05718962203424711,100,34,2025-10-20 22:25:11
9,sst2_client,sst2,0.888,0.5729555142304253,500,444,0.69,0.6005887664281405,100,69,2025-10-20 22:25:29
9,qqp_client,qqp,0.7066666666666667,0.6773751644711745,300,212,0.7,0.6635119467973709,60,42,2025-10-20 22:25:46
9,stsb_client,stsb,0.5397007197525345,0.07251937028079752,500,107,0.5787470707527518,0.06244798577748812,100,34,2025-10-20 22:25:59
10,sst2_client,sst2,0.88,0.5835361438138145,500,440,0.68,0.6058912254296817,100,68,2025-10-20 22:26:18
10,stsb_client,stsb,0.5010283053706717,0.07454114649740476,500,115,0.5013891163214107,0.06194546317251829,100,24,2025-10-20 22:26:26
10,qqp_client,qqp,0.7266666666666667,0.6764586379653529,300,218,0.7,0.6629243791103363,60,42,2025-10-20 22:26:34
11,stsb_client,stsb,0.5514717981786758,0.0763011145154162,500,115,0.5862469089684162,0.06328145701151627,100,27,2025-10-20 22:27:00
11,sst2_client,sst2,0.9,0.5905503238004352,500,450,0.68,0.614552264030163,100,68,2025-10-20 22:27:02
11,qqp_client,qqp,0.7366666666666667,0.6779096973569769,300,221,0.7,0.6664008796215057,60,42,2025-10-20 22:27:19
12,stsb_client,stsb,0.5773121897148966,0.07756470823808322,500,112,0.5431776502131109,0.06832243014986698,100,24,2025-10-20 22:27:43
12,qqp_client,qqp,0.7566666666666667,0.6780109295719549,300,227,0.7166666666666667,0.6699725836515427,60,43,2025-10-20 22:28:03
12,sst2_client,sst2,0.902,0.6016939490560501,500,451,0.73,0.6063514764492328,100,73,2025-10-20 22:28:09
13,sst2_client,sst2,0.91,0.6156710272743589,500,455,0.72,0.6159844536047715,100,72,2025-10-20 22:28:37
13,qqp_client,qqp,0.7833333333333333,0.6797989716655329,300,235,0.7166666666666667,0.6699719652533531,60,43,2025-10-20 22:28:41
13,stsb_client,stsb,0.5211180420681725,0.07930456752341891,500,101,0.5328199692685507,0.06972833751485898,100,27,2025-10-20 22:28:47
14,sst2_client,sst2,0.9,0.6275308387620109,500,450,0.71,0.6282341205156766,100,71,2025-10-20 22:29:05
14,stsb_client,stsb,0.5937205079065123,0.08131114044596278,500,108,0.5615399792123412,0.07460998600492111,100,23,2025-10-20 22:29:13
14,qqp_client,qqp,0.7866666666666666,0.6811995396488592,300,236,0.7,0.6740241944789886,60,42,2025-10-20 22:29:55
15,sst2_client,sst2,0.902,0.6398354030790783,500,451,0.72,0.6366309156784644,100,72,2025-10-20 22:30:23
15,stsb_client,stsb,0.6127956044195804,0.08292090260083713,500,107,0.5977588719199082,0.07671659353833932,100,23,2025-10-20 22:30:43
15,qqp_client,qqp,0.8033333333333333,0.6837341110957297,300,241,0.75,0.6766986846923828,60,45,2025-10-20 22:31:01
16,stsb_client,stsb,0.6126098562732499,0.08305933758143395,500,107,0.6017869371504567,0.07676863613036963,100,23,2025-10-20 22:31:39
16,qqp_client,qqp,0.8133333333333334,0.6862300587327856,300,244,0.7,0.6826737597584724,60,42,2025-10-20 22:31:58
16,sst2_client,sst2,0.888,0.6510788978092255,500,444,0.72,0.6509427932592539,100,72,2025-10-20 22:32:14
17,stsb_client,stsb,0.6197667098157337,0.08430091829763518,500,109,0.5992531947133262,0.07861865684390068,100,23,2025-10-20 22:32:31
17,sst2_client,sst2,0.932,0.6565543583461216,500,466,0.71,0.6568345931860117,100,71,2025-10-20 22:32:55
17,qqp_client,qqp,0.82,0.6882901819128739,300,246,0.7,0.6857628524303436,60,42,2025-10-20 22:33:00
18,stsb_client,stsb,0.6290194775186069,0.08518713825042286,500,107,0.6009272874659102,0.08275446610955092,100,23,2025-10-20 22:33:14
18,qqp_client,qqp,0.84,0.690090548051031,300,252,0.7,0.6881335079669952,60,42,2025-10-20 22:33:45
18,sst2_client,sst2,0.914,0.6642925285157704,500,457,0.72,0.6622407528070303,100,72,2025-10-20 22:33:53
19,stsb_client,stsb,0.6110597480089639,0.08478155096490232,500,112,0.5992765546899321,0.0816870669905956,100,23,2025-10-20 22:34:08
19,sst2_client,sst2,0.922,0.6700956755214267,500,461,0.73,0.6686332867695735,100,73,2025-10-20 22:34:22
19,qqp_client,qqp,0.8333333333333334,0.6912961068906283,300,250,0.6833333333333333,0.6901680082082748,60,41,2025-10-20 22:34:38
20,sst2_client,sst2,0.912,0.6755584487839351,500,456,0.72,0.6734342162425702,100,72,2025-10-20 22:34:59
20,qqp_client,qqp,0.7966666666666666,0.6921463749910656,300,239,0.6833333333333333,0.691643126308918,60,41,2025-10-20 22:35:15
20,stsb_client,stsb,0.6042475808794421,0.08507966770539208,500,106,0.5987049924357226,0.08142605767800258,100,23,2025-10-20 22:35:30
21,stsb_client,stsb,0.604423834920076,0.08513501688601478,500,106,0.59858569306214,0.0841277614235878,100,23,2025-10-20 22:35:57
21,qqp_client,qqp,0.8566666666666667,0.6926359895028567,300,257,0.7,0.6924404054880142,60,42,2025-10-20 22:36:03
21,sst2_client,sst2,0.918,0.6804703597038512,500,459,0.72,0.6786046578333929,100,72,2025-10-20 22:36:12
22,sst2_client,sst2,0.914,0.6837957614944095,500,457,0.72,0.6824964605844938,100,72,2025-10-20 22:36:30
22,stsb_client,stsb,0.6434618009680263,0.08530516390289579,500,110,0.5987939975746547,0.08087036214195766,100,23,2025-10-20 22:36:50
22,qqp_client,qqp,0.83,0.6929026544094086,300,249,0.7,0.6928655579686165,60,42,2025-10-20 22:37:07
23,stsb_client,stsb,0.6405901259092527,0.0854850487103538,500,110,0.5987908203627512,0.08295813489418763,100,23,2025-10-20 22:37:22
23,sst2_client,sst2,0.924,0.6866937620299203,500,462,0.72,0.6861642690805289,100,72,2025-10-20 22:37:24
23,qqp_client,qqp,0.8366666666666667,0.693032631748601,300,251,0.7,0.6930073648691177,60,42,2025-10-20 22:37:44
24,stsb_client,stsb,0.6299075952540014,0.08542749279784778,500,105,0.5986997565838901,0.08167532888742593,100,23,2025-10-20 22:38:12
24,qqp_client,qqp,0.84,0.6930970675066898,300,252,0.7,0.6930882558226585,60,42,2025-10-20 22:38:21
24,sst2_client,sst2,0.908,0.6892537285411169,500,454,0.72,0.688747396835914,100,72,2025-10-20 22:38:27
25,stsb_client,stsb,0.6414057616386716,0.08584866604752957,500,109,0.5976712894275203,0.08173642937953655,100,23,2025-10-20 22:38:42
25,sst2_client,sst2,0.902,0.6908929537213038,500,451,0.72,0.6908658788754389,100,72,2025-10-20 22:38:56
25,qqp_client,qqp,0.83,0.6931267741479372,300,249,0.7,0.6931233108043671,60,42,2025-10-20 22:39:14
26,stsb_client,stsb,0.6514484571811617,0.08521445521286555,500,105,0.5983311900701241,0.08251055530630626,100,23,2025-10-20 22:39:31
26,sst2_client,sst2,0.92,0.6919434174658761,500,460,0.72,0.6919030868090116,100,72,2025-10-20 22:39:44
26,qqp_client,qqp,0.8466666666666667,0.6931393475908982,300,254,0.7,0.6931377574801445,60,42,2025-10-20 22:39:59
27,stsb_client,stsb,0.662097808351669,0.0850686671005355,500,107,0.5951072315293552,0.08611091627524449,100,23,2025-10-20 22:40:17
27,qqp_client,qqp,0.8133333333333334,0.6931446037794414,300,244,0.7,0.6931440234184265,60,42,2025-10-20 22:40:36
27,sst2_client,sst2,0.914,0.6925719077624972,500,457,0.72,0.6925924374507024,100,72,2025-10-20 22:40:40
28,stsb_client,stsb,0.6506440548647592,0.08537350086465714,500,108,0.5925807887186783,0.08555717966877498,100,23,2025-10-20 22:41:08
28,sst2_client,sst2,0.926,0.6928818358315362,500,463,0.72,0.692892679801354,100,72,2025-10-20 22:41:11
28,qqp_client,qqp,0.82,0.6931463840760683,300,246,0.7,0.693146325647831,60,42,2025-10-20 22:41:24
29,stsb_client,stsb,0.27872091545750577,0.0849417822051143,500,106,0.5812588882211992,0.08346489902872306,100,23,2025-10-20 22:41:52
29,sst2_client,sst2,0.922,0.6930383292455522,500,461,0.72,0.6930542267285861,100,72,2025-10-20 22:41:53
29,qqp_client,qqp,0.8333333333333334,0.6931469346347608,300,250,0.7,0.6931468844413757,60,42,2025-10-20 22:41:59
30,stsb_client,stsb,0.0,0.08543166760650892,500,100,0.0,0.0833379912834901,100,17,2025-10-20 22:42:17
30,sst2_client,sst2,0.906,0.6931066607672071,500,453,0.72,0.6931109749353849,100,72,2025-10-20 22:42:20
30,qqp_client,qqp,0.8266666666666667,0.6931471118801519,300,248,0.7,0.6931471154093742,60,42,2025-10-20 22:42:58
